GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Gene_name,NR_ID,NR_annotation,GO_ID,GO_term,KO_ID,KO_gene,KO_Hyperlink,KEGG_Pathway,Pathway_ID,KOG_ID,KOG_annotation,Swiss-Prot_ID,Swiss-Prot_annotation
FGFR3,4207,0.52,0.65,0.47,1.43,2.02,1.71,-1.593650688,3.23E-08,3.23E-08,FGFR3,XP_011511724.1;XP_006713934.1;NP_001341738.1;NP_075254.1;NP_000133.1;XP_006713932.1;XP_011511722.1;XP_006713931.1;NP_001156685.1;XP_006713933.1;XP_006713936.1;BAD92678.1,"fibroblast growth factor receptor 3 isoform X6 [Homo sapiens];fibroblast growth factor receptor 3 isoform X4 [Homo sapiens];fibroblast growth factor receptor 3 isoform 4 precursor [Homo sapiens];fibroblast growth factor receptor 3 isoform 2 precursor [Homo sapiens];fibroblast growth factor receptor 3 isoform 1 precursor [Homo sapiens];fibroblast growth factor receptor 3 isoform X2 [Homo sapiens];fibroblast growth factor receptor 3 isoform X5 [Homo sapiens];fibroblast growth factor receptor 3 isoform X1 [Homo sapiens];fibroblast growth factor receptor 3 isoform 3 precursor [Homo sapiens];fibroblast growth factor receptor 3 isoform X3 [Homo sapiens];fibroblast growth factor receptor 3 isoform X7 [Homo sapiens];fibroblast growth factor receptor 3 isoform 1 precursor variant, partial [Homo sapiens]",GO:0007267;GO:0031410;GO:0003416;GO:0000165;GO:0005634;GO:0001958;GO:0042531;GO:1902178;GO:0070374;GO:0009986;GO:0016021;GO:0004714;GO:0005887;GO:0043410;GO:0043552;GO:0060349;GO:0051897;GO:0033674;GO:0010518;GO:0030133;GO:0005886;GO:0005783;GO:0005007;GO:0042802;GO:0070977;GO:0007275;GO:0005524;GO:0005576;GO:0017134;GO:0018108;GO:0007169;GO:0030282;GO:0005794;GO:0008284;GO:0001501;GO:0002062;GO:0004713;GO:0048640;GO:0043235;GO:0035988;GO:0008543;GO:0046777,cell-cell signaling;cytoplasmic vesicle;endochondral bone growth;MAPK cascade;nucleus;endochondral ossification;positive regulation of tyrosine phosphorylation of STAT protein;fibroblast growth factor receptor apoptotic signaling pathway;positive regulation of ERK1 and ERK2 cascade;cell surface;integral component of membrane;transmembrane receptor protein tyrosine kinase activity;integral component of plasma membrane;positive regulation of MAPK cascade;positive regulation of phosphatidylinositol 3-kinase activity;bone morphogenesis;positive regulation of protein kinase B signaling;positive regulation of kinase activity;positive regulation of phospholipase activity;transport vesicle;plasma membrane;endoplasmic reticulum;fibroblast growth factor-activated receptor activity;identical protein binding;bone maturation;multicellular organism development;ATP binding;extracellular region;fibroblast growth factor binding;peptidyl-tyrosine phosphorylation;transmembrane receptor protein tyrosine kinase signaling pathway;bone mineralization;Golgi apparatus;positive regulation of cell population proliferation;skeletal system development;chondrocyte differentiation;protein tyrosine kinase activity;negative regulation of developmental growth;receptor complex;chondrocyte proliferation;fibroblast growth factor receptor signaling pathway;protein autophosphorylation,K05094,"FGFR3,CD333",http://www.genome.jp/dbget-bin/www_bget?ko:K05094,Regulation of actin cytoskeleton;Signaling pathways regulating pluripotency of stem cells;Endocytosis;Calcium signaling pathway;MAPK signaling pathway;PI3K-Akt signaling pathway;Rap1 signaling pathway;Ras signaling pathway;Central carbon metabolism in cancer;MicroRNAs in cancer;Pathways in cancer;Bladder cancer;EGFR tyrosine kinase inhibitor resistance,"ko04810,ko04550,ko04144,ko04020,ko04010,ko04151,ko04015,ko04014,ko05230,ko05206,ko05200,ko05219,ko01521",-,-,sp|P22607|FGFR3_HUMAN,Fibroblast growth factor receptor 3 OS=Homo sapiens OX=9606 GN=FGFR3 PE=1 SV=1
RASL11A,2542,2.91,2.89,1.54,1.07,0.86,0.59,1.602235215,6.18E-06,6.18E-06,RASL11A,XP_037842808.1;NP_001318055.1;XP_011753914.1,ras-like protein family member 11A isoform X1 [Chlorocebus sabaeus];ras-like protein family member 11A isoform 2 [Homo sapiens];ras-like protein family member 11A [Macaca nemestrina],GO:0045943;GO:0005730;GO:0005525;GO:0003925;GO:0007165;GO:0003924;GO:0016020,positive regulation of transcription by RNA polymerase I;nucleolus;GTP binding;G protein activity;signal transduction;GTPase activity;membrane,K07852,RASL11A,http://www.genome.jp/dbget-bin/www_bget?ko:K07852,-,-,KOG0395,Ras-related GTPase,sp|Q6T310|RSLBA_HUMAN,Ras-like protein family member 11A OS=Homo sapiens OX=9606 GN=RASL11A PE=1 SV=1
LRRC4,3905,0.36,0.47,0.39,0.88,0.96,1.24,-1.241067117,0.000464669,0.000464669,LRRC4,NP_071426.1,leucine-rich repeat-containing protein 4 precursor [Homo sapiens],GO:0099560;GO:0098978;GO:0060076;GO:0016021;GO:0098685;GO:0043197;GO:1904861;GO:0050804;GO:0097119;GO:0099061,synaptic membrane adhesion;glutamatergic synapse;excitatory synapse;integral component of membrane;Schaffer collateral - CA1 synapse;dendritic spine;excitatory synapse assembly;modulation of chemical synaptic transmission;postsynaptic density protein 95 clustering;integral component of postsynaptic density membrane,K16351,"LRRC4,NGL2",http://www.genome.jp/dbget-bin/www_bget?ko:K16351,Cell adhesion molecules;Axon guidance,"ko04514,ko04360",-,-,sp|Q9HBW1|LRRC4_HUMAN,Leucine-rich repeat-containing protein 4 OS=Homo sapiens OX=9606 GN=LRRC4 PE=1 SV=2
ETV1,6447,2.95,1.99,2.33,5.27,4.72,5.97,-1.087688786,3.63E-13,3.63E-13,ETV1,NP_001357484.1;BAD92439.1;NP_001156620.1;NP_001357485.1;NP_001156624.1;NP_001156623.1;XP_024302444.1;XP_011513469.1;NP_001156622.1;PNI57904.1;XP_011513472.1,"ETS translocation variant 1 isoform a [Homo sapiens];ets variant gene 1 variant, partial [Homo sapiens];ETS translocation variant 1 isoform c [Homo sapiens];ETS translocation variant 1 isoform g [Homo sapiens];ETS translocation variant 1 isoform f [Homo sapiens];ETS translocation variant 1 isoform e [Homo sapiens];ETS translocation variant 1 isoform X3 [Homo sapiens];ETS translocation variant 1 isoform X1 [Homo sapiens];ETS translocation variant 1 isoform d [Homo sapiens];ETV1 isoform 9 [Pan troglodytes];ETS translocation variant 1 isoform X4 [Homo sapiens]",GO:0000978;GO:0001228;GO:0000981;GO:0045893;GO:0000785;GO:0048935;GO:0030154;GO:0003700;GO:0007411;GO:0007638;GO:0045944;GO:0007517;GO:0043565;GO:0006357;GO:1990837;GO:0006366;GO:0005634,"RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription activator activity, RNA polymerase II-specific;DNA-binding transcription factor activity, RNA polymerase II-specific;positive regulation of transcription, DNA-templated;chromatin;peripheral nervous system neuron development;cell differentiation;DNA-binding transcription factor activity;axon guidance;mechanosensory behavior;positive regulation of transcription by RNA polymerase II;muscle organ development;sequence-specific DNA binding;regulation of transcription by RNA polymerase II;sequence-specific double-stranded DNA binding;transcription by RNA polymerase II;nucleus",K09431,ETV1,http://www.genome.jp/dbget-bin/www_bget?ko:K09431,Transcriptional misregulation in cancer,ko05202,KOG3806,Predicted transcription factor,sp|P50549|ETV1_HUMAN,ETS translocation variant 1 OS=Homo sapiens OX=9606 GN=ETV1 PE=1 SV=2
DDO,1777,0.65,0.15,0.74,0.06,0.11,0.1,3.24354183,0.000810633,0.000810633,DDO,XP_011905880.1;XP_030867671.1;XP_037856939.1;XP_018885136.1;XP_030867672.1;XP_004044574.2;XP_024651899.1;NP_001355099.1,PREDICTED: D-aspartate oxidase isoform X1 [Cercocebus atys];D-aspartate oxidase isoform X3 [Gorilla gorilla gorilla];D-aspartate oxidase isoform X3 [Chlorocebus sabaeus];D-aspartate oxidase isoform X2 [Gorilla gorilla gorilla];D-aspartate oxidase isoform X4 [Gorilla gorilla gorilla];D-aspartate oxidase isoform X1 [Gorilla gorilla gorilla];D-aspartate oxidase isoform X1 [Macaca nemestrina];D-aspartate oxidase isoform c [Homo sapiens],GO:0019752;GO:0008104;GO:0005829;GO:0046416;GO:0019478;GO:0007320;GO:0003884;GO:0005737;GO:0005777;GO:0007625;GO:0042445;GO:0071949;GO:0008445;GO:0005782;GO:0006531;GO:0006533,carboxylic acid metabolic process;protein localization;cytosol;D-amino acid metabolic process;D-amino acid catabolic process;insemination;D-amino-acid oxidase activity;cytoplasm;peroxisome;grooming behavior;hormone metabolic process;FAD binding;D-aspartate oxidase activity;peroxisomal matrix;aspartate metabolic process;aspartate catabolic process,K00272,DDO,http://www.genome.jp/dbget-bin/www_bget?ko:K00272,"Peroxisome;Alanine, aspartate and glutamate metabolism;D-Amino acid metabolism","ko04146,ko00250,ko00470",KOG3923,D-aspartate oxidase,sp|Q99489|OXDD_HUMAN,D-aspartate oxidase OS=Homo sapiens OX=9606 GN=DDO PE=1 SV=1
PLK4,3778,2.5,1.57,2.15,5.78,3.75,5.56,-1.200338838,2.16E-08,2.16E-08,PLK4,XP_016863152.1;XP_005262758.1;XP_016863151.1;NP_055079.3;NP_001177728.1,serine/threonine-protein kinase PLK4 isoform X2 [Homo sapiens];serine/threonine-protein kinase PLK4 isoform X3 [Homo sapiens];serine/threonine-protein kinase PLK4 isoform X1 [Homo sapiens];serine/threonine-protein kinase PLK4 isoform 1 [Homo sapiens];serine/threonine-protein kinase PLK4 isoform 2 [Homo sapiens],GO:0007099;GO:0106310;GO:0000278;GO:0005829;GO:0010389;GO:0005813;GO:0060271;GO:0000086;GO:0098535;GO:0032465;GO:0097711;GO:0005634;GO:0004674;GO:0000922;GO:0001741;GO:0006468;GO:0060707;GO:0005737;GO:0005730;GO:0098536;GO:0106311;GO:0005814;GO:0046601;GO:0032154;GO:0005524;GO:0042802,centriole replication;protein serine kinase activity;mitotic cell cycle;cytosol;regulation of G2/M transition of mitotic cell cycle;centrosome;cilium assembly;G2/M transition of mitotic cell cycle;de novo centriole assembly involved in multi-ciliated epithelial cell differentiation;regulation of cytokinesis;ciliary basal body-plasma membrane docking;nucleus;protein serine/threonine kinase activity;spindle pole;XY body;protein phosphorylation;trophoblast giant cell differentiation;cytoplasm;nucleolus;deuterosome;protein serine/threonine kinase activity;centriole;positive regulation of centriole replication;cleavage furrow;ATP binding;identical protein binding,K08863,PLK4,http://www.genome.jp/dbget-bin/www_bget?ko:K08863,FoxO signaling pathway,ko04068,KOG0575,Polo-like serine/threonine protein kinase,sp|O00444|PLK4_HUMAN,Serine/threonine-protein kinase PLK4 OS=Homo sapiens OX=9606 GN=PLK4 PE=1 SV=3
LOC119746555,2120,0.51,0.41,0.72,0.86,1.61,1.19,-1.095703265,0.020956518,0.020956518,LOC119746555,-,-,-,-,-,-,-,-,-,-,-,-,-
C1S,2746,91.75,85.99,88.7,42.04,46.62,41.54,1.100882016,4.77E-70,4.77E-70,C1S,NP_001725.1;XP_026308284.1,"complement C1s subcomponent isoform 1 preproprotein [Homo sapiens];complement C1s subcomponent-like, partial [Piliocolobus tephrosceles]",GO:0030449;GO:0072562;GO:0005615;GO:0006958;GO:0004252;GO:0045087;GO:0005509;GO:0006956;GO:0042802;GO:0005576,"regulation of complement activation;blood microparticle;extracellular space;complement activation, classical pathway;serine-type endopeptidase activity;innate immune response;calcium ion binding;complement activation;identical protein binding;extracellular region",K01331,C1S,http://www.genome.jp/dbget-bin/www_bget?ko:K01331,Systemic lupus erythematosus;Pertussis;Staphylococcus aureus infection;Coronavirus disease - COVID-19;Complement and coagulation cascades,"ko05322,ko05133,ko05150,ko05171,ko04610",-,-,sp|P09871|C1S_HUMAN,Complement C1s subcomponent OS=Homo sapiens OX=9606 GN=C1S PE=1 SV=1
ID2-AS1,807,0.77,1.04,2.86,0.32,0.09,0.28,2.830400587,0.003731384,0.003731384,ID2-AS1,-,-,-,-,-,-,-,-,-,-,-,-,-
KCNH1,7546,0.16,0.32,0.29,0.65,0.51,0.67,-1.053673617,0.003925089,0.003925089,KCNH1,NP_758872.1;XP_034802009.1;XP_016856735.1;NP_002229.1,potassium voltage-gated channel subfamily H member 1 isoform 1 [Homo sapiens];potassium voltage-gated channel subfamily H member 1 isoform X2 [Pan paniscus];potassium voltage-gated channel subfamily H member 1 isoform X1 [Homo sapiens];potassium voltage-gated channel subfamily H member 1 isoform 2 [Homo sapiens],GO:0008076;GO:0005887;GO:0030424;GO:0005637;GO:0042391;GO:0007520;GO:0005251;GO:0042734;GO:0005249;GO:1902936;GO:0048015;GO:0006813;GO:0043231;GO:0005516;GO:0071805;GO:0071277;GO:0042127;GO:0030425;GO:0031901;GO:0098839;GO:0005886;GO:0043204;GO:0034765,voltage-gated potassium channel complex;integral component of plasma membrane;axon;nuclear inner membrane;regulation of membrane potential;myoblast fusion;delayed rectifier potassium channel activity;presynaptic membrane;voltage-gated potassium channel activity;phosphatidylinositol bisphosphate binding;phosphatidylinositol-mediated signaling;potassium ion transport;intracellular membrane-bounded organelle;calmodulin binding;potassium ion transmembrane transport;cellular response to calcium ion;regulation of cell population proliferation;dendrite;early endosome membrane;postsynaptic density membrane;plasma membrane;perikaryon;regulation of ion transmembrane transport,K04904,"KCNH1,KV10.1",http://www.genome.jp/dbget-bin/www_bget?ko:K04904,-,-,KOG0498;KOG0501,"K+-channel ERG and related proteins, contain PAS/PAC sensor domain;K+-channel KCNQ",sp|O95259|KCNH1_HUMAN,Potassium voltage-gated channel subfamily H member 1 OS=Homo sapiens OX=9606 GN=KCNH1 PE=1 SV=1
CEACAM19,2828,2.85,2.65,2.78,1.06,0.73,1.44,1.442068385,4.31E-07,4.31E-07,CEACAM19,NP_001121365.1;NP_064604.2;XP_033069470.1,carcinoembryonic antigen-related cell adhesion molecule 19 isoform 1 precursor [Homo sapiens];carcinoembryonic antigen-related cell adhesion molecule 19 isoform 2 precursor [Homo sapiens];uncharacterized protein LOC117085074 [Trachypithecus francoisi],GO:0016021,integral component of membrane,K16825,"CEACAM19,CEAL1",http://www.genome.jp/dbget-bin/www_bget?ko:K16825,-,-,-,-,sp|Q7Z692|CEA19_HUMAN;sp|Q7Z692|CEA19_HUMAN,Carcinoembryonic antigen-related cell adhesion molecule 19 OS=Homo sapiens OX=9606 GN=CEACAM19 PE=2 SV=2;Cell adhesion molecule CEACAM19 OS=Homo sapiens OX=9606 GN=CEACAM19 PE=2 SV=2
EDN1,2023,4.42,5.19,3.76,11.4,9.37,12.03,-1.207792331,4.20E-11,4.20E-11,EDN1,NP_001946.3;NP_001161791.1,endothelin-1 isoform 1 preproprotein [Homo sapiens];endothelin-1 isoform 2 preproprotein [Homo sapiens],GO:0010460;GO:0019229;GO:0045178;GO:0086100;GO:0009953;GO:0014065;GO:0060298;GO:0051216;GO:0031707;GO:0030185;GO:0001516;GO:0005737;GO:0001666;GO:0031708;GO:0051482;GO:0042313;GO:0001569;GO:0006874;GO:0070101;GO:0005179;GO:0007166;GO:0014824;GO:0048016;GO:0035815;GO:0014032;GO:0005576;GO:0035810;GO:0007193;GO:0003100;GO:0006885;GO:0007589;GO:2000273;GO:0005125;GO:0043507;GO:0031583;GO:0007507;GO:0060585;GO:0045793;GO:0014826;GO:0032269;GO:0033093;GO:0045944;GO:0051771;GO:0061051;GO:0030335;GO:0045840;GO:0042474;GO:0005615;GO:0043179;GO:0048661;GO:0007205;GO:0030072;GO:0019722;GO:0001701;GO:0000122;GO:0048237;GO:0010827;GO:0007585;GO:0046887;GO:0051091;GO:0045987,positive regulation of heart rate;regulation of vasoconstriction;basal part of cell;endothelin receptor signaling pathway;dorsal/ventral pattern formation;phosphatidylinositol 3-kinase signaling;positive regulation of sarcomere organization;cartilage development;endothelin A receptor binding;nitric oxide transport;prostaglandin biosynthetic process;cytoplasm;response to hypoxia;endothelin B receptor binding;positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway;protein kinase C deactivation;branching involved in blood vessel morphogenesis;cellular calcium ion homeostasis;positive regulation of chemokine-mediated signaling pathway;hormone activity;cell surface receptor signaling pathway;artery smooth muscle contraction;inositol phosphate-mediated signaling;positive regulation of renal sodium excretion;neural crest cell development;extracellular region;positive regulation of urine volume;adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway;regulation of systemic arterial blood pressure by endothelin;regulation of pH;body fluid secretion;positive regulation of signaling receptor activity;cytokine activity;positive regulation of JUN kinase activity;phospholipase D-activating G protein-coupled receptor signaling pathway;heart development;positive regulation of prostaglandin-endoperoxide synthase activity;positive regulation of cell size;vein smooth muscle contraction;negative regulation of cellular protein metabolic process;Weibel-Palade body;positive regulation of transcription by RNA polymerase II;negative regulation of nitric-oxide synthase biosynthetic process;positive regulation of cell growth involved in cardiac muscle cell development;positive regulation of cell migration;positive regulation of mitotic nuclear division;middle ear morphogenesis;extracellular space;rhythmic excitation;positive regulation of smooth muscle cell proliferation;protein kinase C-activating G protein-coupled receptor signaling pathway;peptide hormone secretion;calcium-mediated signaling;in utero embryonic development;negative regulation of transcription by RNA polymerase II;rough endoplasmic reticulum lumen;regulation of glucose transmembrane transport;respiratory gaseous exchange by respiratory system;positive regulation of hormone secretion;positive regulation of DNA-binding transcription factor activity;positive regulation of smooth muscle contraction,K16366,EDN1,http://www.genome.jp/dbget-bin/www_bget?ko:K16366,HIF-1 signaling pathway;TNF signaling pathway;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Pathways in cancer;Fluid shear stress and atherosclerosis;Hypertrophic cardiomyopathy;AGE-RAGE signaling pathway in diabetic complications;Vascular smooth muscle contraction;Melanogenesis;Relaxin signaling pathway;Renin secretion,"ko04066,ko04668,ko04024,ko04080,ko05200,ko05418,ko05410,ko04933,ko04270,ko04916,ko04926,ko04924",-,-,sp|P05305|EDN1_HUMAN,Endothelin-1 OS=Homo sapiens OX=9606 GN=EDN1 PE=1 SV=1
RPS6KA2,5794,18.83,19.13,19.73,7.66,7.77,8.6,1.332186408,1.44E-69,1.44E-69,RPS6KA2,NP_001006933.3;NP_001305866.1;BAD92353.1;NP_066958.2;XP_006715612.1;XP_030784145.1;XP_034819127.1,"ribosomal protein S6 kinase alpha-2 isoform b [Homo sapiens];ribosomal protein S6 kinase alpha-2 isoform d [Homo sapiens];ribosomal protein S6 kinase, 90kDa, polypeptide 2 isoform b variant, partial [Homo sapiens];ribosomal protein S6 kinase alpha-2 isoform a [Homo sapiens];ribosomal protein S6 kinase alpha-2 isoform X1 [Homo sapiens];ribosomal protein S6 kinase alpha-2 isoform X2 [Rhinopithecus roxellana];ribosomal protein S6 kinase alpha-2 isoform X4 [Pan paniscus]",GO:0045202;GO:0005654;GO:0000287;GO:0005737;GO:0004711;GO:0106311;GO:0007268;GO:0018105;GO:0008285;GO:0005524;GO:0106310;GO:0043065;GO:0007165;GO:0005829;GO:0045786;GO:0004712;GO:0035556;GO:0005840;GO:0005634;GO:0016301;GO:0004674,synapse;nucleoplasm;magnesium ion binding;cytoplasm;ribosomal protein S6 kinase activity;protein serine/threonine kinase activity;chemical synaptic transmission;peptidyl-serine phosphorylation;negative regulation of cell population proliferation;ATP binding;protein serine kinase activity;positive regulation of apoptotic process;signal transduction;cytosol;negative regulation of cell cycle;protein serine/threonine/tyrosine kinase activity;intracellular signal transduction;ribosome;nucleus;kinase activity;protein serine/threonine kinase activity,K04373,RPS6KA,http://www.genome.jp/dbget-bin/www_bget?ko:K04373,Oocyte meiosis;MAPK signaling pathway;mTOR signaling pathway;Chemical carcinogenesis - receptor activation;Insulin resistance;Yersinia infection;Progesterone-mediated oocyte maturation;Thermogenesis;Long-term potentiation;Neurotrophin signaling pathway,"ko04114,ko04010,ko04150,ko05207,ko04931,ko05135,ko04914,ko04714,ko04720,ko04722",KOG0603,Ribosomal protein S6 kinase,sp|Q15349|KS6A2_HUMAN,Ribosomal protein S6 kinase alpha-2 OS=Homo sapiens OX=9606 GN=RPS6KA2 PE=1 SV=2
